Generation,fit_O,fit_Y,fit_B,fit_total,sim
68,0.0,8.0,0.0,8.0,1
69,0.0,8.0,0.0,8.0,1
70,0.0,8.0,0.0,8.0,1
71,0.0,8.0,0.0,8.0,1
72,0.0,8.0,0.0,8.0,1
73,0.0,8.0,0.0,8.0,1
74,0.0,8.0,0.0,8.0,1
75,0.0,8.0,0.0,8.0,1
76,0.0,8.0,0.0,8.0,1
77,0.0,8.0,0.0,8.0,1
78,0.0,8.0,0.0,8.0,1
79,0.0,8.0,0.0,8.0,1
80,0.0,8.0,0.0,8.0,1
81,0.0,8.0,0.0,8.0,1
82,0.0,8.0,0.0,8.0,1
83,0.0,8.0,0.0,8.0,1
84,0.0,8.0,0.0,8.0,1
85,0.0,8.0,0.0,8.0,1
86,0.0,8.0,0.0,8.0,1
87,0.0,8.0,0.0,8.0,1
88,0.0,8.0,0.0,8.0,1
89,0.0,8.0,0.0,8.0,1
90,0.0,8.0,0.0,8.0,1
91,0.0,8.0,0.0,8.0,1
92,0.0,8.0,0.0,8.0,1
93,0.0,8.0,0.0,8.0,1
94,0.0,8.0,0.0,8.0,1
95,0.0,8.0,0.0,8.0,1
96,0.0,8.0,0.0,8.0,1
97,0.0,8.0,0.0,8.0,1
98,0.0,8.0,0.0,8.0,1
99,0.0,8.0,0.0,8.0,1
100,0.0,8.0,0.0,8.0,1
101,0.0,8.0,0.0,8.0,1
102,0.0,8.0,0.0,8.0,1
103,0.0,8.0,0.0,8.0,1
104,0.0,8.0,0.0,8.0,1
105,0.0,8.0,0.0,8.0,1
106,0.0,8.0,0.0,8.0,1
107,0.0,8.0,0.0,8.0,1
108,0.0,8.0,0.0,8.0,1
109,0.0,8.0,0.0,8.0,1
110,0.0,8.0,0.0,8.0,1
111,0.0,8.0,0.0,8.0,1
112,0.0,8.0,0.0,8.0,1
113,0.0,8.0,0.0,8.0,1
114,0.0,8.0,0.0,8.0,1
115,0.0,8.0,0.0,8.0,1
116,0.0,8.0,0.0,8.0,1
117,0.0,8.0,0.0,8.0,1
118,0.0,8.0,0.0,8.0,1
119,0.0,8.0,0.0,8.0,1
120,0.0,8.0,0.0,8.0,1
121,0.0,8.0,0.0,8.0,1
122,0.0,8.0,0.0,8.0,1
123,0.0,8.0,0.0,8.0,1
124,0.0,8.0,0.0,8.0,1
125,0.0,8.0,0.0,8.0,1
126,0.0,8.0,0.0,8.0,1
127,0.0,8.0,0.0,8.0,1
128,0.0,8.0,0.0,8.0,1
129,0.0,8.0,0.0,8.0,1
130,0.0,8.0,0.0,8.0,1
131,0.0,8.0,0.0,8.0,1
132,0.0,8.0,0.0,8.0,1
133,0.0,8.0,0.0,8.0,1
134,0.0,8.0,0.0,8.0,1
135,0.0,8.0,0.0,8.0,1
136,0.0,8.0,0.0,8.0,1
137,0.0,8.0,0.0,8.0,1
138,0.0,8.0,0.0,8.0,1
139,0.0,8.0,0.0,8.0,1
140,0.0,8.0,0.0,8.0,1
141,0.0,8.0,0.0,8.0,1
142,0.0,8.0,0.0,8.0,1
143,0.0,8.0,0.0,8.0,1
144,0.0,8.0,0.0,8.0,1
145,0.0,8.0,0.0,8.0,1
146,0.0,8.0,0.0,8.0,1
147,0.0,8.0,0.0,8.0,1
148,0.0,8.0,0.0,8.0,1
149,0.0,8.0,0.0,8.0,1
150,0.0,8.0,0.0,8.0,1
151,0.0,8.0,0.0,8.0,1
152,0.0,8.0,0.0,8.0,1
153,0.0,8.0,0.0,8.0,1
154,0.0,8.0,0.0,8.0,1
155,0.0,8.0,0.0,8.0,1
156,0.0,8.0,0.0,8.0,1
157,0.0,8.0,0.0,8.0,1
158,0.0,8.0,0.0,8.0,1
159,0.0,8.0,0.0,8.0,1
160,0.0,8.0,0.0,8.0,1
161,0.0,8.0,0.0,8.0,1
162,0.0,8.0,0.0,8.0,1
163,0.0,8.0,0.0,8.0,1
164,0.0,8.0,0.0,8.0,1
165,0.0,8.0,0.0,8.0,1
166,0.0,8.0,0.0,8.0,1
167,0.0,8.0,0.0,8.0,1
168,0.0,8.0,0.0,8.0,1
169,0.0,8.0,0.0,8.0,1
170,0.0,8.0,0.0,8.0,1
171,0.0,8.0,0.0,8.0,1
172,0.0,8.0,0.0,8.0,1
173,0.0,8.0,0.0,8.0,1
174,0.0,8.0,0.0,8.0,1
175,0.0,8.0,0.0,8.0,1
176,0.0,8.0,0.0,8.0,1
177,0.0,8.0,0.0,8.0,1
178,0.0,8.0,0.0,8.0,1
179,0.0,8.0,0.0,8.0,1
180,0.0,8.0,0.0,8.0,1
181,0.0,8.0,0.0,8.0,1
182,0.0,8.0,0.0,8.0,1
183,0.0,8.0,0.0,8.0,1
184,0.0,8.0,0.0,8.0,1
185,0.0,8.0,0.0,8.0,1
186,0.0,8.0,0.0,8.0,1
187,0.0,8.0,0.0,8.0,1
188,0.0,8.0,0.0,8.0,1
189,0.0,8.0,0.0,8.0,1
190,0.0,8.0,0.0,8.0,1
191,0.0,8.0,0.0,8.0,1
192,0.0,8.0,0.0,8.0,1
193,0.0,8.0,0.0,8.0,1
194,0.0,8.0,0.0,8.0,1
195,0.0,8.0,0.0,8.0,1
196,0.0,8.0,0.0,8.0,1
197,0.0,8.0,0.0,8.0,1
198,0.0,8.0,0.0,8.0,1
199,0.0,8.0,0.0,8.0,1
200,0.0,8.0,0.0,8.0,1
0,0.0,0.0,0.0,0.0,2
1,19.83823707470638,19.144444444444446,11.453947368421053,19.659,2
2,23.736372180451127,24.567479856759178,0.0,24.47905,2
3,11.243034055727554,11.557972512142193,0.0,11.5478,2
4,9.855805243445692,9.221529685189099,0.0,9.2554,2
5,10.133720930232558,10.003256003256004,0.0,10.0055,2
6,9.478260869565217,8.639508700102354,0.0,8.6588,2
7,10.030303030303031,8.856125213203573,0.0,8.86,2
8,0.0,8.1215,0.0,8.1215,2
9,0.0,8.0,0.0,8.0,2
10,0.0,8.0,0.0,8.0,2
11,0.0,8.0,0.0,8.0,2
12,0.0,8.0,0.0,8.0,2
13,0.0,8.0,0.0,8.0,2
14,0.0,8.0,0.0,8.0,2
15,0.0,8.0,0.0,8.0,2
16,0.0,8.0,0.0,8.0,2
17,0.0,8.0,0.0,8.0,2
18,0.0,8.0,0.0,8.0,2
19,0.0,8.0,0.0,8.0,2
20,0.0,8.0,0.0,8.0,2
21,0.0,8.0,0.0,8.0,2
22,0.0,8.0,0.0,8.0,2
23,0.0,8.0,0.0,8.0,2
24,0.0,8.0,0.0,8.0,2
25,0.0,8.0,0.0,8.0,2
26,0.0,8.0,0.0,8.0,2
27,0.0,8.0,0.0,8.0,2
28,0.0,8.0,0.0,8.0,2
29,0.0,8.0,0.0,8.0,2
30,0.0,8.0,0.0,8.0,2
31,0.0,8.0,0.0,8.0,2
32,0.0,8.0,0.0,8.0,2
33,0.0,8.0,0.0,8.0,2
34,0.0,8.0,0.0,8.0,2
35,0.0,8.0,0.0,8.0,2
36,0.0,8.0,0.0,8.0,2
37,0.0,8.0,0.0,8.0,2
38,0.0,8.0,0.0,8.0,2
39,0.0,8.0,0.0,8.0,2
40,0.0,8.0,0.0,8.0,2
41,0.0,8.0,0.0,8.0,2
42,0.0,8.0,0.0,8.0,2
43,0.0,8.0,0.0,8.0,2
44,0.0,8.0,0.0,8.0,2
45,0.0,8.0,0.0,8.0,2
46,0.0,8.0,0.0,8.0,2
47,0.0,8.0,0.0,8.0,2
48,0.0,8.0,0.0,8.0,2
49,0.0,8.0,0.0,8.0,2
50,0.0,8.0,0.0,8.0,2
51,0.0,8.0,0.0,8.0,2
52,0.0,8.0,0.0,8.0,2
53,0.0,8.0,0.0,8.0,2
54,0.0,8.0,0.0,8.0,2
55,0.0,8.0,0.0,8.0,2
56,0.0,8.0,0.0,8.0,2
57,0.0,8.0,0.0,8.0,2
58,0.0,8.0,0.0,8.0,2
59,0.0,8.0,0.0,8.0,2
60,0.0,8.0,0.0,8.0,2
61,0.0,8.0,0.0,8.0,2
62,0.0,8.0,0.0,8.0,2
63,0.0,8.0,0.0,8.0,2
64,0.0,8.0,0.0,8.0,2
65,0.0,8.0,0.0,8.0,2
66,0.0,8.0,0.0,8.0,2
67,0.0,8.0,0.0,8.0,2
68,0.0,8.0,0.0,8.0,2
69,0.0,8.0,0.0,8.0,2
70,0.0,8.0,0.0,8.0,2
71,0.0,8.0,0.0,8.0,2
72,0.0,8.0,0.0,8.0,2
73,0.0,8.0,0.0,8.0,2
74,0.0,8.0,0.0,8.0,2
75,0.0,8.0,0.0,8.0,2
76,0.0,8.0,0.0,8.0,2
77,0.0,8.0,0.0,8.0,2
78,0.0,8.0,0.0,8.0,2
79,0.0,8.0,0.0,8.0,2
80,0.0,8.0,0.0,8.0,2
81,0.0,8.0,0.0,8.0,2
82,0.0,8.0,0.0,8.0,2
83,0.0,8.0,0.0,8.0,2
84,0.0,8.0,0.0,8.0,2
85,0.0,8.0,0.0,8.0,2
86,0.0,8.0,0.0,8.0,2
87,0.0,8.0,0.0,8.0,2
88,0.0,8.0,0.0,8.0,2
89,0.0,8.0,0.0,8.0,2
90,0.0,8.0,0.0,8.0,2
91,0.0,8.0,0.0,8.0,2
92,0.0,8.0,0.0,8.0,2
93,0.0,8.0,0.0,8.0,2
94,0.0,8.0,0.0,8.0,2
95,0.0,8.0,0.0,8.0,2
96,0.0,8.0,0.0,8.0,2
97,0.0,8.0,0.0,8.0,2
98,0.0,8.0,0.0,8.0,2
99,0.0,8.0,0.0,8.0,2
100,0.0,8.0,0.0,8.0,2
101,0.0,8.0,0.0,8.0,2
102,0.0,8.0,0.0,8.0,2
103,0.0,8.0,0.0,8.0,2
104,0.0,8.0,0.0,8.0,2
105,0.0,8.0,0.0,8.0,2
106,0.0,8.0,0.0,8.0,2
107,0.0,8.0,0.0,8.0,2
108,0.0,8.0,0.0,8.0,2
109,0.0,8.0,0.0,8.0,2
110,0.0,8.0,0.0,8.0,2
111,0.0,8.0,0.0,8.0,2
112,0.0,8.0,0.0,8.0,2
113,0.0,8.0,0.0,8.0,2
114,0.0,8.0,0.0,8.0,2
115,0.0,8.0,0.0,8.0,2
116,0.0,8.0,0.0,8.0,2
117,0.0,8.0,0.0,8.0,2
118,0.0,8.0,0.0,8.0,2
119,0.0,8.0,0.0,8.0,2
120,0.0,8.0,0.0,8.0,2
121,0.0,8.0,0.0,8.0,2
122,0.0,8.0,0.0,8.0,2
123,0.0,8.0,0.0,8.0,2
124,0.0,8.0,0.0,8.0,2
125,0.0,8.0,0.0,8.0,2
126,0.0,8.0,0.0,8.0,2
127,0.0,8.0,0.0,8.0,2
128,0.0,8.0,0.0,8.0,2
129,0.0,8.0,0.0,8.0,2
130,0.0,8.0,0.0,8.0,2
131,0.0,8.0,0.0,8.0,2
132,0.0,8.0,0.0,8.0,2
133,0.0,8.0,0.0,8.0,2
134,0.0,8.0,0.0,8.0,2
135,0.0,8.0,0.0,8.0,2
136,0.0,8.0,0.0,8.0,2
137,0.0,8.0,0.0,8.0,2
138,0.0,8.0,0.0,8.0,2
139,0.0,8.0,0.0,8.0,2
140,0.0,8.0,0.0,8.0,2
141,0.0,8.0,0.0,8.0,2
142,0.0,8.0,0.0,8.0,2
143,0.0,8.0,0.0,8.0,2
144,0.0,8.0,0.0,8.0,2
145,0.0,8.0,0.0,8.0,2
146,0.0,8.0,0.0,8.0,2
147,0.0,8.0,0.0,8.0,2
148,0.0,8.0,0.0,8.0,2
149,0.0,8.0,0.0,8.0,2
150,0.0,8.0,0.0,8.0,2
151,0.0,8.0,0.0,8.0,2
152,0.0,8.0,0.0,8.0,2
153,0.0,8.0,0.0,8.0,2
154,0.0,8.0,0.0,8.0,2
155,0.0,8.0,0.0,8.0,2
156,0.0,8.0,0.0,8.0,2
157,0.0,8.0,0.0,8.0,2
158,0.0,8.0,0.0,8.0,2
159,0.0,8.0,0.0,8.0,2
160,0.0,8.0,0.0,8.0,2
161,0.0,8.0,0.0,8.0,2
162,0.0,8.0,0.0,8.0,2
163,0.0,8.0,0.0,8.0,2
164,0.0,8.0,0.0,8.0,2
165,0.0,8.0,0.0,8.0,2
166,0.0,8.0,0.0,8.0,2
167,0.0,8.0,0.0,8.0,2
168,0.0,8.0,0.0,8.0,2
169,0.0,8.0,0.0,8.0,2
170,0.0,8.0,0.0,8.0,2
171,0.0,8.0,0.0,8.0,2
172,0.0,8.0,0.0,8.0,2
173,0.0,8.0,0.0,8.0,2
174,0.0,8.0,0.0,8.0,2
175,0.0,8.0,0.0,8.0,2
176,0.0,8.0,0.0,8.0,2
177,0.0,8.0,0.0,8.0,2
178,0.0,8.0,0.0,8.0,2
179,0.0,8.0,0.0,8.0,2
180,0.0,8.0,0.0,8.0,2
181,0.0,8.0,0.0,8.0,2
182,0.0,8.0,0.0,8.0,2
183,0.0,8.0,0.0,8.0,2
184,0.0,8.0,0.0,8.0,2
185,0.0,8.0,0.0,8.0,2
186,0.0,8.0,0.0,8.0,2
187,0.0,8.0,0.0,8.0,2
188,0.0,8.0,0.0,8.0,2
189,0.0,8.0,0.0,8.0,2
190,0.0,8.0,0.0,8.0,2
191,0.0,8.0,0.0,8.0,2
192,0.0,8.0,0.0,8.0,2
193,0.0,8.0,0.0,8.0,2
194,0.0,8.0,0.0,8.0,2
195,0.0,8.0,0.0,8.0,2
196,0.0,8.0,0.0,8.0,2
197,0.0,8.0,0.0,8.0,2
198,0.0,8.0,0.0,8.0,2
199,0.0,8.0,0.0,8.0,2
200,0.0,8.0,0.0,8.0,2
0,0.0,0.0,0.0,0.0,3
1,19.900542822677924,19.307434491163924,10.789855072463768,19.74035,3
2,23.84426946631671,24.67884159421926,0.0,24.58345,3
3,10.472762645914397,11.946063840706149,0.0,11.9082,3
4,10.088594704684319,8.943159112419814,0.0,8.9994,3
5,9.992366412213741,9.802310264464484,0.0,9.8048,3
6,9.546875,8.476247987117553,0.0,8.4831,3
7,9.333333333333334,8.23695303091128,0.0,8.2409,3
8,0.0,8.1336,0.0,8.1336,3
9,0.0,8.0,0.0,8.0,3
10,0.0,8.0,0.0,8.0,3
11,0.0,8.0,0.0,8.0,3
12,0.0,8.0,0.0,8.0,3
13,0.0,8.0,0.0,8.0,3
14,0.0,8.0,0.0,8.0,3
15,0.0,8.0,0.0,8.0,3
16,0.0,8.0,0.0,8.0,3
17,0.0,8.0,0.0,8.0,3
18,0.0,8.0,0.0,8.0,3
19,0.0,8.0,0.0,8.0,3
20,0.0,8.0,0.0,8.0,3
21,0.0,8.0,0.0,8.0,3
22,0.0,8.0,0.0,8.0,3
23,0.0,8.0,0.0,8.0,3
24,0.0,8.0,0.0,8.0,3
25,0.0,8.0,0.0,8.0,3
26,0.0,8.0,0.0,8.0,3
27,0.0,8.0,0.0,8.0,3
28,0.0,8.0,0.0,8.0,3
29,0.0,8.0,0.0,8.0,3
30,0.0,8.0,0.0,8.0,3
31,0.0,8.0,0.0,8.0,3
32,0.0,8.0,0.0,8.0,3
33,0.0,8.0,0.0,8.0,3
34,0.0,8.0,0.0,8.0,3
35,0.0,8.0,0.0,8.0,3
36,0.0,8.0,0.0,8.0,3
37,0.0,8.0,0.0,8.0,3
38,0.0,8.0,0.0,8.0,3
39,0.0,8.0,0.0,8.0,3
40,0.0,8.0,0.0,8.0,3
41,0.0,8.0,0.0,8.0,3
42,0.0,8.0,0.0,8.0,3
43,0.0,8.0,0.0,8.0,3
44,0.0,8.0,0.0,8.0,3
45,0.0,8.0,0.0,8.0,3
46,0.0,8.0,0.0,8.0,3
47,0.0,8.0,0.0,8.0,3
48,0.0,8.0,0.0,8.0,3
49,0.0,8.0,0.0,8.0,3
50,0.0,8.0,0.0,8.0,3
51,0.0,8.0,0.0,8.0,3
52,0.0,8.0,0.0,8.0,3
53,0.0,8.0,0.0,8.0,3
54,0.0,8.0,0.0,8.0,3
55,0.0,8.0,0.0,8.0,3
56,0.0,8.0,0.0,8.0,3
57,0.0,8.0,0.0,8.0,3
58,0.0,8.0,0.0,8.0,3
59,0.0,8.0,0.0,8.0,3
60,0.0,8.0,0.0,8.0,3
61,0.0,8.0,0.0,8.0,3
62,0.0,8.0,0.0,8.0,3
63,0.0,8.0,0.0,8.0,3
64,0.0,8.0,0.0,8.0,3
65,0.0,8.0,0.0,8.0,3
66,0.0,8.0,0.0,8.0,3
67,0.0,8.0,0.0,8.0,3
68,0.0,8.0,0.0,8.0,3
69,0.0,8.0,0.0,8.0,3
70,0.0,8.0,0.0,8.0,3
71,0.0,8.0,0.0,8.0,3
72,0.0,8.0,0.0,8.0,3
73,0.0,8.0,0.0,8.0,3
74,0.0,8.0,0.0,8.0,3
75,0.0,8.0,0.0,8.0,3
76,0.0,8.0,0.0,8.0,3
77,0.0,8.0,0.0,8.0,3
78,0.0,8.0,0.0,8.0,3
79,0.0,8.0,0.0,8.0,3
80,0.0,8.0,0.0,8.0,3
81,0.0,8.0,0.0,8.0,3
82,0.0,8.0,0.0,8.0,3
83,0.0,8.0,0.0,8.0,3
84,0.0,8.0,0.0,8.0,3
85,0.0,8.0,0.0,8.0,3
86,0.0,8.0,0.0,8.0,3
87,0.0,8.0,0.0,8.0,3
88,0.0,8.0,0.0,8.0,3
89,0.0,8.0,0.0,8.0,3
90,0.0,8.0,0.0,8.0,3
91,0.0,8.0,0.0,8.0,3
92,0.0,8.0,0.0,8.0,3
93,0.0,8.0,0.0,8.0,3
94,0.0,8.0,0.0,8.0,3
95,0.0,8.0,0.0,8.0,3
96,0.0,8.0,0.0,8.0,3
97,0.0,8.0,0.0,8.0,3
98,0.0,8.0,0.0,8.0,3
99,0.0,8.0,0.0,8.0,3
100,0.0,8.0,0.0,8.0,3
101,0.0,8.0,0.0,8.0,3
102,0.0,8.0,0.0,8.0,3
103,0.0,8.0,0.0,8.0,3
104,0.0,8.0,0.0,8.0,3
105,0.0,8.0,0.0,8.0,3
106,0.0,8.0,0.0,8.0,3
107,0.0,8.0,0.0,8.0,3
108,0.0,8.0,0.0,8.0,3
109,0.0,8.0,0.0,8.0,3
110,0.0,8.0,0.0,8.0,3
111,0.0,8.0,0.0,8.0,3
112,0.0,8.0,0.0,8.0,3
113,0.0,8.0,0.0,8.0,3
114,0.0,8.0,0.0,8.0,3
115,0.0,8.0,0.0,8.0,3
116,0.0,8.0,0.0,8.0,3
117,0.0,8.0,0.0,8.0,3
118,0.0,8.0,0.0,8.0,3
119,0.0,8.0,0.0,8.0,3
120,0.0,8.0,0.0,8.0,3
121,0.0,8.0,0.0,8.0,3
122,0.0,8.0,0.0,8.0,3
123,0.0,8.0,0.0,8.0,3
124,0.0,8.0,0.0,8.0,3
125,0.0,8.0,0.0,8.0,3
126,0.0,8.0,0.0,8.0,3
127,0.0,8.0,0.0,8.0,3
128,0.0,8.0,0.0,8.0,3
129,0.0,8.0,0.0,8.0,3
130,0.0,8.0,0.0,8.0,3
131,0.0,8.0,0.0,8.0,3
132,0.0,8.0,0.0,8.0,3
133,0.0,8.0,0.0,8.0,3
134,0.0,8.0,0.0,8.0,3
135,0.0,8.0,0.0,8.0,3
136,0.0,8.0,0.0,8.0,3
137,0.0,8.0,0.0,8.0,3
138,0.0,8.0,0.0,8.0,3
139,0.0,8.0,0.0,8.0,3
140,0.0,8.0,0.0,8.0,3
141,0.0,8.0,0.0,8.0,3
142,0.0,8.0,0.0,8.0,3
143,0.0,8.0,0.0,8.0,3
144,0.0,8.0,0.0,8.0,3
145,0.0,8.0,0.0,8.0,3
146,0.0,8.0,0.0,8.0,3
147,0.0,8.0,0.0,8.0,3
148,0.0,8.0,0.0,8.0,3
149,0.0,8.0,0.0,8.0,3
150,0.0,8.0,0.0,8.0,3
151,0.0,8.0,0.0,8.0,3
152,0.0,8.0,0.0,8.0,3
153,0.0,8.0,0.0,8.0,3
154,0.0,8.0,0.0,8.0,3
155,0.0,8.0,0.0,8.0,3
156,0.0,8.0,0.0,8.0,3
157,0.0,8.0,0.0,8.0,3
158,0.0,8.0,0.0,8.0,3
159,0.0,8.0,0.0,8.0,3
160,0.0,8.0,0.0,8.0,3
161,0.0,8.0,0.0,8.0,3
162,0.0,8.0,0.0,8.0,3
163,0.0,8.0,0.0,8.0,3
164,0.0,8.0,0.0,8.0,3
165,0.0,8.0,0.0,8.0,3
166,0.0,8.0,0.0,8.0,3
167,0.0,8.0,0.0,8.0,3
168,0.0,8.0,0.0,8.0,3
169,0.0,8.0,0.0,8.0,3
170,0.0,8.0,0.0,8.0,3
171,0.0,8.0,0.0,8.0,3
172,0.0,8.0,0.0,8.0,3
173,0.0,8.0,0.0,8.0,3
174,0.0,8.0,0.0,8.0,3
175,0.0,8.0,0.0,8.0,3
176,0.0,8.0,0.0,8.0,3
177,0.0,8.0,0.0,8.0,3
178,0.0,8.0,0.0,8.0,3
179,0.0,8.0,0.0,8.0,3
180,0.0,8.0,0.0,8.0,3
181,0.0,8.0,0.0,8.0,3
182,0.0,8.0,0.0,8.0,3
183,0.0,8.0,0.0,8.0,3
184,0.0,8.0,0.0,8.0,3
185,0.0,8.0,0.0,8.0,3
186,0.0,8.0,0.0,8.0,3
187,0.0,8.0,0.0,8.0,3
188,0.0,8.0,0.0,8.0,3
189,0.0,8.0,0.0,8.0,3
190,0.0,8.0,0.0,8.0,3
191,0.0,8.0,0.0,8.0,3
192,0.0,8.0,0.0,8.0,3
193,0.0,8.0,0.0,8.0,3
194,0.0,8.0,0.0,8.0,3
195,0.0,8.0,0.0,8.0,3
196,0.0,8.0,0.0,8.0,3
197,0.0,8.0,0.0,8.0,3
198,0.0,8.0,0.0,8.0,3
199,0.0,8.0,0.0,8.0,3
200,0.0,8.0,0.0,8.0,3
0,0.0,0.0,0.0,0.0,4
1,19.834041004488657,18.994591346153847,11.456989247311828,19.61645,4
2,23.700120192307693,24.75119982547993,0.0,24.66375,4
3,10.060975609756097,11.026468155500414,0.0,10.9948,4
4,10.010526315789473,9.256860706860707,0.0,9.2855,4
5,9.87136929460581,9.42012501280869,0.0,9.431,4
6,9.831460674157304,8.903037029563112,0.0,8.9113,4
7,9.77570093457944,8.326392398665723,0.0,8.3419,4
8,9.925925925925926,8.395467762959992,0.0,8.3996,4
9,10.466666666666667,8.09794692038057,0.0,8.1015,4
10,0.0,8.0502,0.0,8.0502,4
11,0.0,8.0,0.0,8.0,4
12,0.0,8.0,0.0,8.0,4
13,0.0,8.0,0.0,8.0,4
14,0.0,8.0,0.0,8.0,4
15,0.0,8.0,0.0,8.0,4
16,0.0,8.0,0.0,8.0,4
17,0.0,8.0,0.0,8.0,4
18,0.0,8.0,0.0,8.0,4
19,0.0,8.0,0.0,8.0,4
20,0.0,8.0,0.0,8.0,4
21,0.0,8.0,0.0,8.0,4
22,0.0,8.0,0.0,8.0,4
23,0.0,8.0,0.0,8.0,4
24,0.0,8.0,0.0,8.0,4
25,0.0,8.0,0.0,8.0,4
26,0.0,8.0,0.0,8.0,4
27,0.0,8.0,0.0,8.0,4
28,0.0,8.0,0.0,8.0,4
29,0.0,8.0,0.0,8.0,4
30,0.0,8.0,0.0,8.0,4
31,0.0,8.0,0.0,8.0,4
32,0.0,8.0,0.0,8.0,4
33,0.0,8.0,0.0,8.0,4
34,0.0,8.0,0.0,8.0,4
35,0.0,8.0,0.0,8.0,4
36,0.0,8.0,0.0,8.0,4
37,0.0,8.0,0.0,8.0,4
38,0.0,8.0,0.0,8.0,4
39,0.0,8.0,0.0,8.0,4
40,0.0,8.0,0.0,8.0,4
41,0.0,8.0,0.0,8.0,4
42,0.0,8.0,0.0,8.0,4
43,0.0,8.0,0.0,8.0,4
44,0.0,8.0,0.0,8.0,4
45,0.0,8.0,0.0,8.0,4
46,0.0,8.0,0.0,8.0,4
47,0.0,8.0,0.0,8.0,4
48,0.0,8.0,0.0,8.0,4
49,0.0,8.0,0.0,8.0,4
50,0.0,8.0,0.0,8.0,4
51,0.0,8.0,0.0,8.0,4
52,0.0,8.0,0.0,8.0,4
53,0.0,8.0,0.0,8.0,4
54,0.0,8.0,0.0,8.0,4
55,0.0,8.0,0.0,8.0,4
56,0.0,8.0,0.0,8.0,4
57,0.0,8.0,0.0,8.0,4
58,0.0,8.0,0.0,8.0,4
59,0.0,8.0,0.0,8.0,4
60,0.0,8.0,0.0,8.0,4
61,0.0,8.0,0.0,8.0,4
62,0.0,8.0,0.0,8.0,4
63,0.0,8.0,0.0,8.0,4
64,0.0,8.0,0.0,8.0,4
65,0.0,8.0,0.0,8.0,4
66,0.0,8.0,0.0,8.0,4
67,0.0,8.0,0.0,8.0,4
68,0.0,8.0,0.0,8.0,4
69,0.0,8.0,0.0,8.0,4
70,0.0,8.0,0.0,8.0,4
71,0.0,8.0,0.0,8.0,4
72,0.0,8.0,0.0,8.0,4
73,0.0,8.0,0.0,8.0,4
74,0.0,8.0,0.0,8.0,4
75,0.0,8.0,0.0,8.0,4
76,0.0,8.0,0.0,8.0,4
77,0.0,8.0,0.0,8.0,4
